Fault Name,Severity Class,Description
Voltage Sag,2,Drop in voltage amplitude
Capacitor Bank Degradation,1,Capacitor aging causing harmonic or reactive power issues
Transformer Saturation,2,Core nonlinearity causing waveform distortion
Loose Neutral,3,Floating reference leading to voltage instability
Overcurrent,2,Excessive current levels on a line
Voltage Flicker,1,Low-frequency oscillations in voltage magnitude
